operator,binding_energy,rbs,repressors,IPTG_uM,fold_change
O2,-13.9,RBS1027,260,0.0,0.0130591233152869
O2,-13.9,RBS1027,260,0.1,0.008699114189061
O2,-13.9,RBS1027,260,5.0,0.0457685717624739
O2,-13.9,RBS1027,260,10.0,0.1111508252695878
O2,-13.9,RBS1027,260,25.0,0.3344372274677951
O2,-13.9,RBS1027,260,50.0,0.5186235409508518
O2,-13.9,RBS1027,260,75.0,0.6570323200630506
O2,-13.9,RBS1027,260,100.0,0.7425935175758004
O2,-13.9,RBS1027,260,500.0,0.936247153816052
O2,-13.9,RBS1027,260,1000.0,0.9093985494539588
O2,-13.9,RBS1027,260,5000.0,0.9686631293528852
O2,-13.9,RBS1027,260,0.0,0.0148466802301524
O2,-13.9,RBS1027,260,0.1,0.0165369238002671
O2,-13.9,RBS1027,260,5.0,0.0365964945741647
O2,-13.9,RBS1027,260,10.0,0.0927236519928384
O2,-13.9,RBS1027,260,25.0,0.2124718694729555
O2,-13.9,RBS1027,260,50.0,0.4869831711436543
O2,-13.9,RBS1027,260,75.0,0.6135300981021079
O2,-13.9,RBS1027,260,100.0,0.7281947840794208
O2,-13.9,RBS1027,260,250.0,0.8603697564277434
O2,-13.9,RBS1027,260,500.0,0.9748273408273658
O2,-13.9,RBS1027,260,1000.0,0.9521143123658315
O2,-13.9,RBS1027,260,5000.0,0.9096227984884404
O2,-13.9,RBS1027,260,0.0,0.0136895997035366
O2,-13.9,RBS1027,260,0.1,0.0148741425601714
O2,-13.9,RBS1027,260,5.0,0.0714025295551633
O2,-13.9,RBS1027,260,10.0,0.0825550310208929
O2,-13.9,RBS1027,260,25.0,0.3027319661387224
O2,-13.9,RBS1027,260,50.0,0.4747711484769758
O2,-13.9,RBS1027,260,75.0,0.6395890376425327
O2,-13.9,RBS1027,260,100.0,0.7963140318682193
O2,-13.9,RBS1027,260,250.0,0.8487758662233189
O2,-13.9,RBS1027,260,500.0,0.8700788134392952
O2,-13.9,RBS1027,260,1000.0,0.8989354924221995
O2,-13.9,RBS1027,260,5000.0,0.8471428956070162
O2,-13.9,RBS1027,260,0.0,0.0147430988207569
O2,-13.9,RBS1027,260,0.1,0.0156672716279945
O2,-13.9,RBS1027,260,5.0,0.0459090365936468
O2,-13.9,RBS1027,260,10.0,0.0729645669700277
O2,-13.9,RBS1027,260,25.0,0.1449925640696955
O2,-13.9,RBS1027,260,50.0,0.4974958525218901
O2,-13.9,RBS1027,260,75.0,0.6135944603723877
O2,-13.9,RBS1027,260,100.0,0.664821622857855
O2,-13.9,RBS1027,260,250.0,0.8802531901478251
O2,-13.9,RBS1027,260,500.0,0.8838401494127616
O2,-13.9,RBS1027,260,1000.0,0.894270203862669
O2,-13.9,RBS1027,260,0.0,0.0109531528937269
O2,-13.9,RBS1027,260,0.1,0.013329267808545
O2,-13.9,RBS1027,260,5.0,0.0468030326595179
O2,-13.9,RBS1027,260,10.0,0.0827843853706001
O2,-13.9,RBS1027,260,25.0,0.217032648136581
O2,-13.9,RBS1027,260,50.0,0.4858289737961886
O2,-13.9,RBS1027,260,75.0,0.5743228743561752
O2,-13.9,RBS1027,260,100.0,0.7561563387532545
O2,-13.9,RBS1027,260,250.0,0.8225603551649623
O2,-13.9,RBS1027,260,500.0,0.8941124303935076
O2,-13.9,RBS1027,260,1000.0,0.923903101845878
O2,-13.9,RBS1027,260,5000.0,0.9733185739455186
O2,-13.9,RBS1027,260,0.0,0.0150842794493772
O2,-13.9,RBS1027,260,0.1,0.0132177432071366
O2,-13.9,RBS1027,260,5.0,0.0271222269887904
O2,-13.9,RBS1027,260,10.0,0.0521287722111879
O2,-13.9,RBS1027,260,25.0,0.2850200387365843
O2,-13.9,RBS1027,260,50.0,0.5085470768062615
O2,-13.9,RBS1027,260,75.0,0.5501081941035244
O2,-13.9,RBS1027,260,100.0,0.7129678273250493
O2,-13.9,RBS1027,260,250.0,0.90602843311564
O2,-13.9,RBS1027,260,500.0,0.9581268874260864
O2,-13.9,RBS1027,260,1000.0,0.8866940563150258
O2,-13.9,RBS1027,260,5000.0,0.8181306730378757
O2,-13.9,RBS1027,260,0.0,0.0196547476807
O2,-13.9,RBS1027,260,0.1,0.0177852798898
O2,-13.9,RBS1027,260,5.0,0.0364163186105
O2,-13.9,RBS1027,260,10.0,0.0829234407417
O2,-13.9,RBS1027,260,25.0,0.261616153962
O2,-13.9,RBS1027,260,50.0,0.480079284694
O2,-13.9,RBS1027,260,75.0,0.609008570325
O2,-13.9,RBS1027,260,100.0,0.713091790862
O2,-13.9,RBS1027,260,250.0,0.912469290153
O2,-13.9,RBS1027,260,500.0,0.889276747956
O2,-13.9,RBS1027,260,1000.0,0.900133614969
O2,-13.9,RBS1027,260,5000.0,0.863464089097
O2,-13.9,RBS1027,260,0.0,0.0181847885259325
O2,-13.9,RBS1027,260,0.1,0.0129364002390652
O2,-13.9,RBS1027,260,5.0,0.0395502115757085
O2,-13.9,RBS1027,260,10.0,0.0559275783579333
O2,-13.9,RBS1027,260,25.0,0.1675670680729263
O2,-13.9,RBS1027,260,50.0,0.4023790279287783
O2,-13.9,RBS1027,260,75.0,0.3480191144872858
O2,-13.9,RBS1027,260,100.0,0.6634033276551679
O2,-13.9,RBS1027,260,250.0,0.7801853186658727
O2,-13.9,RBS1027,260,500.0,0.8661969242745798
O2,-13.9,RBS1027,260,1000.0,0.9519024811848912
O2,-13.9,RBS1027,260,5000.0,0.8908504885459925
O2,-13.9,RBS1027,260,0.0,0.0118153546421
O2,-13.9,RBS1027,260,0.1,0.0081641637588
O2,-13.9,RBS1027,260,5.0,0.0304529447796999
O2,-13.9,RBS1027,260,10.0,0.050164351748
O2,-13.9,RBS1027,260,25.0,0.206046424664
O2,-13.9,RBS1027,260,50.0,0.361066349371
O2,-13.9,RBS1027,260,75.0,0.535526197837
O2,-13.9,RBS1027,260,100.0,0.604969189898
O2,-13.9,RBS1027,260,500.0,0.777254299535
O2,-13.9,RBS1027,260,1000.0,0.780324465281
O2,-13.9,RBS1027,260,5000.0,0.649441435222
O2,-13.9,RBS1027,260,0.0,0.0147802207038863
O2,-13.9,RBS1027,260,0.1,0.0115161447283411
O2,-13.9,RBS1027,260,5.0,0.0322293298161989
O2,-13.9,RBS1027,260,10.0,0.0800301216262975
O2,-13.9,RBS1027,260,25.0,0.1944207865010508
O2,-13.9,RBS1027,260,50.0,0.4450635964491468
O2,-13.9,RBS1027,260,75.0,0.5686945851077613
O2,-13.9,RBS1027,260,100.0,0.5821146376464538
O2,-13.9,RBS1027,260,250.0,0.8474469385138247
O2,-13.9,RBS1027,260,500.0,0.9020866268581872
O2,-13.9,RBS1027,260,1000.0,0.9463950930649788
O2,-13.9,RBS1027,260,5000.0,1.0118940433209247
O2,-13.9,RBS1027,260,0.0,0.0178787675388
O2,-13.9,RBS1027,260,0.1,0.023532728781
O2,-13.9,RBS1027,260,5.0,0.0554500992581
O2,-13.9,RBS1027,260,10.0,0.086121693315
O2,-13.9,RBS1027,260,25.0,0.296684454436
O2,-13.9,RBS1027,260,50.0,0.4479511992409999
O2,-13.9,RBS1027,260,75.0,0.6657250068330001
O2,-13.9,RBS1027,260,100.0,0.732177013574
O2,-13.9,RBS1027,260,250.0,0.937118613793
O2,-13.9,RBS1027,260,500.0,0.91733186899
O2,-13.9,RBS1027,260,1000.0,0.8684546832410001
O2,-13.9,RBS1027,260,5000.0,0.862186749003
